ageband,year,pop,rate,ratelow,rateupp,deaths,people,percent
20-24,1999,Total,85.36,74.11,96.62,221,258890,0.000853644
25-29,1999,Total,88.3,77.24,99.35,245,277470,0.000882978
30-34,1999,Total,89.18,78.38,99.98,262,293790,0.000891793
35-39,1999,Total,112.54,100.8,124.28,353,313670,0.001125387
40-44,1999,Total,159.88,145.19,174.57,455,284590,0.001598791
45-49,1999,Total,242.99,223.85,262.14,619,254740,0.002429929
50-54,1999,Total,393.16,367.53,418.79,904,229930,0.003931631
55-59,1999,Total,688.04,649.85,726.23,1247,181240,0.00688038
60-64,1999,Total,1115.21,1061.09,1169.34,1631,146250,0.011152137
65-69,1999,Total,1719.36,1648.68,1790.05,2273,132200,0.017193646
70-74,1999,Total,2800.94,2705.84,2896.05,3332,118960,0.028009415
75-79,1999,Total,4562.23,4425.1,4699.36,4252,93200,0.045622318
80+,1999,Total,11340.76,11135.39,11546.12,11715,103300,0.113407551
Total,2000,Total,502.66,496.49,508.84,27235,3860180,0.00705537
00-04,2000,Total,298.56,278.44,318.68,846,283360,0.002985601
05-09,2000,Total,16.9,12.26,21.54,51,301790,0.000168992
10-14,2000,Total,21.8,16.46,27.14,64,293560,0.000218013
15-19,2000,Total,62.83,53.44,72.22,172,273770,0.000628265
20-24,2000,Total,75.66,64.98,86.33,193,255100,0.000756566
25-29,2000,Total,92.47,80.98,103.95,249,269290,0.000924654
30-34,2000,Total,95.11,83.93,106.29,278,292300,0.000951078
35-39,2000,Total,100.01,88.91,111.11,312,311970,0.001000096
40-44,2000,Total,156.49,142.11,170.87,455,290760,0.001564864
45-49,2000,Total,236.78,217.99,255.57,610,257620,0.002367829
50-54,2000,Total,360.99,336.89,385.09,862,238790,0.003609866
55-59,2000,Total,623.28,587.35,659.21,1156,185470,0.006232814
60-64,2000,Total,973.84,924.37,1023.3,1489,152900,0.009738391
65-69,2000,Total,1644.57,1575.18,1713.95,2158,131220,0.016445664
70-74,2000,Total,2601.5,2510.13,2692.88,3114,119700,0.026015038
75-79,2000,Total,4260.62,4129.42,4391.83,4051,95080,0.042606226
80+,2000,Total,10395.35,10202.61,10588.09,11175,107500,0.103953488
Total,2001,Total,507.7,501.58,513.82,28445,3886630,0.00731868
00-04,2001,Total,274.15,254.8,293.5,771,281230,0.002741528
05-09,2001,Total,15.88,11.34,20.42,47,296000,0.000158784
10-14,2001,Total,22.92,17.51,28.33,69,301000,0.000229236
15-19,2001,Total,69.42,59.62,79.21,193,278030,0.00069417
20-24,2001,Total,85.73,74.4,97.05,220,256630,0.000857265
25-29,2001,Total,77.75,67,88.5,201,258510,0.000777533
30-34,2001,Total,94.16,83.03,105.29,275,292060,0.000941587
35-39,2001,Total,101.48,90.22,112.74,312,307450,0.001014799
40-44,2001,Total,152.38,138.35,166.41,453,297280,0.001523816
45-49,2001,Total,217.48,199.63,235.34,570,262090,0.002174825
50-54,2001,Total,372.99,348.79,397.18,913,244780,0.00372988
55-59,2001,Total,572.48,538.46,606.5,1088,190050,0.005724809
60-64,2001,Total,1003.41,954.5,1052.32,1617,161150,0.01003413
65-69,2001,Total,1619.11,1550.22,1688,2122,131060,0.016191058
70-74,2001,Total,2673.51,2581.28,2765.74,3228,120740,0.026735133
75-79,2001,Total,4172.28,4043.38,4301.18,4025,96470,0.041722815
80+,2001,Total,11008.92,10814.69,11203.15,12341,112100,0.110089206
Total,2002,Total,499.61,493.6,505.61,28709,3951140,0.007266004
00-04,2002,Total,295.14,275.06,315.22,830,281220,0.002951426
05-09,2002,Total,15.97,11.4,20.53,47,294330,0.000159685
10-14,2002,Total,15.58,11.17,19.98,48,308140,0.000155773
15-19,2002,Total,57.52,48.74,66.29,165,286870,0.000575173
20-24,2002,Total,74.55,64.17,84.94,198,265590,0.00074551
25-29,2002,Total,82.34,71.18,93.5,209,253830,0.000823386
30-34,2002,Total,86.04,75.46,96.62,254,295210,0.000860404
35-39,2002,Total,109.41,97.69,121.13,335,306190,0.001094092
40-44,2002,Total,141.46,128.16,154.77,434,306790,0.001414648
45-49,2002,Total,230.72,212.59,248.85,622,269590,0.002307207
50-54,2002,Total,352.01,328.58,375.44,867,246300,0.003520097
55-59,2002,Total,601.01,567.14,634.89,1209,201160,0.006010141
60-64,2002,Total,936.55,890.34,982.76,1578,168490,0.009365541
65-69,2002,Total,1557.16,1490.06,1624.26,2069,132870,0.015571611
70-74,2002,Total,2570.36,2479.95,2660.77,3105,120800,0.025703642
75-79,2002,Total,4213.38,4084.71,4342.05,4119,97760,0.042133797
80+,2002,Total,10879.31,10689.5,11069.12,12620,116000,0.108793103
Total,2003,Total,482.55,476.71,488.39,28401,4027690,0.007051436
00-04,2003,Total,278,258.54,297.46,784,282010,0.002780043
05-09,2003,Total,12.9,8.8,17,38,294650,0.000128967
10-14,2003,Total,19.49,14.6,24.39,61,312920,0.000194938
15-19,2003,Total,74.53,64.68,84.38,220,295180,0.000745308
20-24,2003,Total,68.63,58.9,78.37,191,278290,0.000686334
25-29,2003,Total,73.82,63.24,84.4,187,253330,0.000738168
30-34,2003,Total,86.14,75.61,96.67,257,298360,0.000861376
35-39,2003,Total,106.85,95.27,118.43,327,306040,0.001068488
40-44,2003,Total,148.1,134.7,161.51,469,316670,0.001481037
45-49,2003,Total,230.88,213.03,248.73,643,278500,0.002308797
50-54,2003,Total,360.59,336.98,384.2,896,248480,0.003605924
55-59,2003,Total,547.27,516.02,578.52,1178,215250,0.005472706
60-64,2003,Total,911.15,866.09,956.2,1571,172420,0.009111472
65-69,2003,Total,1486.17,1421.36,1550.98,2020,135920,0.014861683
70-74,2003,Total,2436.31,2348.18,2524.44,2936,120510,0.024363123
75-79,2003,Total,3941.34,3818.02,4064.66,3924,99560,0.039413419
80+,2003,Total,10617.89,10433.22,10802.57,12699,119600,0.10617893
Total,2004,Total,481.3,475.53,487.06,29093,4088720,0.00711543
00-04,2004,Total,304.43,284.15,324.7,866,284470,0.003044258
05-09,2004,Total,12.95,8.84,17.07,38,293330,0.000129547
10-14,2004,Total,17.48,12.86,22.1,55,314700,0.00017477
15-19,2004,Total,66.17,56.98,75.36,199,300740,0.000661701
20-24,2004,Total,70.43,60.7,80.17,201,285380,0.000704324
25-29,2004,Total,70.32,60.02,80.62,179,254550,0.000703202
30-34,2004,Total,75.32,65.45,85.18,224,297410,0.000753169
35-39,2004,Total,111.72,99.89,123.54,343,307030,0.001117155
40-44,2004,Total,138.33,125.49,151.17,446,322410,0.001383332
45-49,2004,Total,230.4,212.86,247.94,663,287760,0.002304003
50-54,2004,Total,348.07,325.04,371.09,878,252250,0.003480674
55-59,2004,Total,529.87,499.89,559.85,1200,226470,0.005298715
60-64,2004,Total,886.35,842.54,930.15,1573,177470,0.00886347
65-69,2004,Total,1449.04,1386.05,1512.03,2033,140300,0.014490378
70-74,2004,Total,2388.72,2301.34,2476.1,2871,120190,0.023887179
75-79,2004,Total,3949.04,3826.4,4071.68,3983,100860,0.039490383
80+,2004,Total,10811.18,10627.73,10994.64,13341,123400,0.108111831
Total,2005,Total,448.74,443.22,454.26,27722,4136060,0.006702514
00-04,2005,Total,273.09,253.89,292.29,777,284520,0.002730915
05-09,2005,Total,14.36,10.02,18.71,42,292400,0.000143639
10-14,2005,Total,15.96,11.54,20.39,50,313230,0.000159627
15-19,2005,Total,67.55,58.34,76.75,207,306460,0.000675455
20-24,2005,Total,72.37,62.56,82.18,209,288800,0.000723684
25-29,2005,Total,69.79,59.57,80.02,179,256480,0.00069791
30-34,2005,Total,78.41,68.28,88.54,230,293330,0.0007841
35-39,2005,Total,102.04,90.77,113.31,315,308700,0.001020408
40-44,2005,Total,154.39,140.86,167.92,500,323860,0.001543877
45-49,2005,Total,219.01,202.16,235.85,649,296340,0.002190052
50-54,2005,Total,327.16,305.05,349.27,841,257060,0.00327161
55-59,2005,Total,524.78,495.54,554.01,1238,235910,0.005247764
60-64,2005,Total,839.78,797.7,881.86,1530,182190,0.008397826
65-69,2005,Total,1337.87,1278.76,1396.97,1968,147100,0.013378654
70-74,2005,Total,2140.47,2057.65,2223.29,2566,119880,0.021404738
75-79,2005,Total,3615.08,3498.46,3731.71,3691,102100,0.036150833
80+,2005,Total,9968.68,9795.5,10141.85,12730,127700,0.099686766
Total,2006,Total,456.43,450.93,461.93,29045,4185260,0.006939832
00-04,2006,Total,302.82,282.66,322.98,867,286310,0.003028186
05-09,2006,Total,11.3,7.45,15.16,33,292010,0.00011301
10-14,2006,Total,14.18,9.99,18.37,44,310280,0.000141807
15-19,2006,Total,66.07,57.07,75.07,207,313290,0.00066073
